Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.010490597606504202,39.47221457585823,0.9813406928343475,0.9984932426483561,1.1883348267239766,1.209298439485686
"8x, 4 bands",0.010404111248762027,39.54194716187638,0.9813784278072804,0.9984861604574001,1.191046760452018,1.2000635968410056
"16x, 4 bands",0.010378879906347156,39.56326701784615,0.9815789503429312,0.9986733583697024,1.1143426491174306,1.1978384492754623
"32x, 4 bands",0.010472851520315463,39.4863867266438,0.9812546229548694,0.9984226356232963,1.213539602173681,1.2074268609313967
"8x, 1 band",0.022515499162664702,32.92916610883539,0.942740518563457,0.9960299324094996,2.0711593187401087,2.018372126157543
"8x, 3 bands",0.011858527383579601,38.43037757916592,0.9781999828751913,0.9984828733403439,1.1903632258116499,1.3492857278460362
"8x, 8 bands",0.00909391665853412,40.68109039381497,0.9843707110219796,0.9985759826295666,1.1509528111089316,1.0687775425964288
"8x, 16 bands",0.008891893872043567,40.870172026451016,0.9846390327934234,0.9986980727914105,1.101868530783949,1.0433393568063625
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.010486279448605373,39.47551555604679,0.9812972843619903,0.998447327677994,1.2031382134732986,1.2097744182934713
"8x, 4 bands",0.0104089950710318,39.53829510605719,0.9814700732886208,0.9985731621257895,1.1554206473315902,1.2008192932396442
"16x, 4 bands",0.010372922116528058,39.56883176139969,0.9815576919779905,0.9985733673085655,1.153831353102902,1.1970775235132407
"32x, 4 bands",0.010462067814781432,39.49471497145032,0.9813864894804424,0.9984906827496475,1.1909853301602653,1.2067829021587115
"8x, 1 band",0.022593774913625582,32.899087966196305,0.9433444181856947,0.9961166066884313,2.0582848011174444,2.007069443741641
"8x, 3 bands",0.011893318409981042,38.40563396505268,0.9781859565628374,0.9984696535570171,1.1951257753245188,1.3521608105997884
"8x, 8 bands",0.00909194153787817,40.68336703807426,0.9844367305651306,0.9986328997051107,1.1293971860535965,1.067831454674676
"8x, 16 bands",0.008887353385077769,40.874851574944415,0.9846236926149843,0.9986849864910353,1.1041503297307627,1.0445732731686075
Airy PSF,,,,,,
"4x, 4 bands",0.010490597606504202,39.47221457585823,0.9813406928343475,0.9984932426483561,1.1883348267239766,1.209298439485686
"8x, 4 bands",0.010404111248762027,39.54194716187638,0.9813784278072804,0.9984861604574001,1.191046760452018,1.2000635968410056
"16x, 4 bands",0.010378879906347156,39.56326701784615,0.9815789503429312,0.9986733583697024,1.1143426491174306,1.1978384492754623
"32x, 4 bands",0.010472851520315463,39.4863867266438,0.9812546229548694,0.9984226356232963,1.213539602173681,1.2074268609313967
"8x, 1 band",0.02242559056920878,32.963881194293656,0.9436990176220275,0.9962445058226633,2.026687268252402,2.0069174720326086
"8x, 3 bands",0.011858527383579601,38.43037757916592,0.9781999828751913,0.9984828733403439,1.1903632258116499,1.3492857278460362
"8x, 8 bands",0.00909391665853412,40.68109039381497,0.9843707110219796,0.9985759826295666,1.1509528111089316,1.0687775425964288
"8x, 16 bands",0.008891893872043567,40.870172026451016,0.9846390327934234,0.9986980727914105,1.101868530783949,1.0433393568063625
Moffat PSF,,,,,,
"4x, 4 bands",0.010486279448605373,39.47551555604679,0.9812972843619903,0.998447327677994,1.2031382134732986,1.2097744182934713
"8x, 4 bands",0.0104089950710318,39.53829510605719,0.9814700732886208,0.9985731621257895,1.1554206473315902,1.2008192932396442
"16x, 4 bands",0.010372922116528058,39.56883176139969,0.9815576919779905,0.9985733673085655,1.153831353102902,1.1970775235132407
"32x, 4 bands",0.010462067814781432,39.49471497145032,0.9813864894804424,0.9984906827496475,1.1909853301602653,1.2067829021587115
"8x, 1 band",0.022394554454834976,32.975962546502096,0.9435680351943639,0.9962327703571199,2.028579021024046,1.9962811599476062
"8x, 3 bands",0.011893318409981042,38.40563396505268,0.9781859565628374,0.9984696535570171,1.1951257753245188,1.3521608105997884
"8x, 8 bands",0.00909194153787817,40.68336703807426,0.9844367305651306,0.9986328997051107,1.1293971860535965,1.067831454674676
"8x, 16 bands",0.008887353385077769,40.874851574944415,0.9846236926149843,0.9986849864910353,1.1041503297307627,1.0445732731686075
Sinc PSF,,,,,,
"4x, 4 bands",0.010490597606504202,39.47221457585823,0.9813406928343475,0.9984932426483561,1.1883348267239766,1.209298439485686
"8x, 4 bands",0.010404111248762027,39.54194716187638,0.9813784278072804,0.9984861604574001,1.191046760452018,1.2000635968410056
"16x, 4 bands",0.010378879906347156,39.56326701784615,0.9815789503429312,0.9986733583697024,1.1143426491174306,1.1978384492754623
"32x, 4 bands",0.010472851520315463,39.4863867266438,0.9812546229548694,0.9984226356232963,1.213539602173681,1.2074268609313967
"8x, 1 band",0.022933396541257027,32.76980257960204,0.9428259725128912,0.9961625138441302,2.0420700739527295,2.0304733003761015
"8x, 3 bands",0.011858527383579601,38.43037757916592,0.9781999828751913,0.9984828733403439,1.1903632258116499,1.3492857278460362
"8x, 8 bands",0.00909391665853412,40.68109039381497,0.9843707110219796,0.9985759826295666,1.1509528111089316,1.0687775425964288
"8x, 16 bands",0.008891893872043567,40.870172026451016,0.9846390327934234,0.9986980727914105,1.101868530783949,1.0433393568063625
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.010486279448605373,39.47551555604679,0.9812972843619903,0.998447327677994,1.2031382134732986,1.2097744182934713
"8x, 4 bands",0.0104089950710318,39.53829510605719,0.9814700732886208,0.9985731621257895,1.1554206473315902,1.2008192932396442
"16x, 4 bands",0.010372922116528058,39.56883176139969,0.9815576919779905,0.9985733673085655,1.153831353102902,1.1970775235132407
"32x, 4 bands",0.010462067814781432,39.49471497145032,0.9813864894804424,0.9984906827496475,1.1909853301602653,1.2067829021587115
"8x, 1 band",0.02256794303774312,32.90885161958278,0.9426297227558145,0.9960599275620615,2.064411838895613,2.00146036432918
"8x, 3 bands",0.011893318409981042,38.40563396505268,0.9781859565628374,0.9984696535570171,1.1951257753245188,1.3521608105997884
"8x, 8 bands",0.00909194153787817,40.68336703807426,0.9844367305651306,0.9986328997051107,1.1293971860535965,1.067831454674676
"8x, 16 bands",0.008887353385077769,40.874851574944415,0.9846236926149843,0.9986849864910353,1.1041503297307627,1.0445732731686075
Hermite PSF,,,,,,
"4x, 4 bands",0.010490597606504202,39.47221457585823,0.9813406928343475,0.9984932426483561,1.1883348267239766,1.209298439485686
"8x, 4 bands",0.010404111248762027,39.54194716187638,0.9813784278072804,0.9984861604574001,1.191046760452018,1.2000635968410056
"16x, 4 bands",0.010378879906347156,39.56326701784615,0.9815789503429312,0.9986733583697024,1.1143426491174306,1.1978384492754623
"32x, 4 bands",0.010472851520315463,39.4863867266438,0.9812546229548694,0.9984226356232963,1.213539602173681,1.2074268609313967
"8x, 1 band",0.02323483821465318,32.657184819878275,0.9409753388003019,0.9957885024813855,2.1300228006239594,2.0662579420982676
"8x, 3 bands",0.011858527383579601,38.43037757916592,0.9781999828751913,0.9984828733403439,1.1903632258116499,1.3492857278460362
"8x, 8 bands",0.00909391665853412,40.68109039381497,0.9843707110219796,0.9985759826295666,1.1509528111089316,1.0687775425964288
"8x, 16 bands",0.008891893872043567,40.870172026451016,0.9846390327934234,0.9986980727914105,1.101868530783949,1.0433393568063625
Parabolic PSF,,,,,,
"4x, 4 bands",0.010486279448605373,39.47551555604679,0.9812972843619903,0.998447327677994,1.2031382134732986,1.2097744182934713
"8x, 4 bands",0.0104089950710318,39.53829510605719,0.9814700732886208,0.9985731621257895,1.1554206473315902,1.2008192932396442
"16x, 4 bands",0.010372922116528058,39.56883176139969,0.9815576919779905,0.9985733673085655,1.153831353102902,1.1970775235132407
"32x, 4 bands",0.010462067814781432,39.49471497145032,0.9813864894804424,0.9984906827496475,1.1909853301602653,1.2067829021587115
"8x, 1 band",0.022227788146676905,33.04038620915653,0.9434851963401801,0.996246144024834,2.020717146912675,1.982998149559224
"8x, 3 bands",0.011893318409981042,38.40563396505268,0.9781859565628374,0.9984696535570171,1.1951257753245188,1.3521608105997884
"8x, 8 bands",0.00909194153787817,40.68336703807426,0.9844367305651306,0.9986328997051107,1.1293971860535965,1.067831454674676
"8x, 16 bands",0.008887353385077769,40.874851574944415,0.9846236926149843,0.9986849864910353,1.1041503297307627,1.0445732731686075
Gabor PSF,,,,,,
"4x, 4 bands",0.010490597606504202,39.47221457585823,0.9813406928343475,0.9984932426483561,1.1883348267239766,1.209298439485686
"8x, 4 bands",0.010404111248762027,39.54194716187638,0.9813784278072804,0.9984861604574001,1.191046760452018,1.2000635968410056
"16x, 4 bands",0.010378879906347156,39.56326701784615,0.9815789503429312,0.9986733583697024,1.1143426491174306,1.1978384492754623
"32x, 4 bands",0.010472851520315463,39.4863867266438,0.9812546229548694,0.9984226356232963,1.213539602173681,1.2074268609313967
"8x, 1 band",0.023090044972100855,32.711495787694076,0.9417233755805642,0.9958755929924086,2.1116995164036143,2.05043815676346
"8x, 3 bands",0.011858527383579601,38.43037757916592,0.9781999828751913,0.9984828733403439,1.1903632258116499,1.3492857278460362
"8x, 8 bands",0.00909391665853412,40.68109039381497,0.9843707110219796,0.9985759826295666,1.1509528111089316,1.0687775425964288
"8x, 16 bands",0.008891893872043567,40.870172026451016,0.9846390327934234,0.9986980727914105,1.101868530783949,1.0433393568063625
Delta PSF,,,,,,
"4x, 4 bands",0.010486279448605373,39.47551555604679,0.9812972843619903,0.998447327677994,1.2031382134732986,1.2097744182934713
"8x, 4 bands",0.0104089950710318,39.53829510605719,0.9814700732886208,0.9985731621257895,1.1554206473315902,1.2008192932396442
"16x, 4 bands",0.010372922116528058,39.56883176139969,0.9815576919779905,0.9985733673085655,1.153831353102902,1.1970775235132407
"32x, 4 bands",0.010462067814781432,39.49471497145032,0.9813864894804424,0.9984906827496475,1.1909853301602653,1.2067829021587115
"8x, 1 band",0.022206217735107794,33.04801930297192,0.9433008000940214,0.9962957139145895,2.001518536986811,1.9977797461401892
"8x, 3 bands",0.011893318409981042,38.40563396505268,0.9781859565628374,0.9984696535570171,1.1951257753245188,1.3521608105997884
"8x, 8 bands",0.00909194153787817,40.68336703807426,0.9844367305651306,0.9986328997051107,1.1293971860535965,1.067831454674676
"8x, 16 bands",0.008887353385077769,40.874851574944415,0.9846236926149843,0.9986849864910353,1.1041503297307627,1.0445732731686075
