Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.0449507252141633,26.92795326811811,0.9504131943079485,0.9654083740158587,8.638360331990746,8.370127889152057
"8x, 4 bands",0.04495047806453396,26.928567093320808,0.9506768526426764,0.96569492754728,8.655343699899312,8.36637384642949
"16x, 4 bands",0.04490376563124209,26.937710051931223,0.9507496191534486,0.9657336908665574,8.656924957073384,8.375986483912635
"32x, 4 bands",0.04489558307532299,26.938396140728816,0.9503608099680453,0.9652348096255948,8.647143538599881,8.373879370553686
"8x, 1 band",0.056333895220964984,24.97179874933904,0.8701994214879477,0.9442700916880036,10.005571042963235,10.501668565893896
"8x, 3 bands",0.045907651589290756,26.745045078357634,0.9404547221065079,0.9616358101340176,8.750348721085912,8.957676129482186
"8x, 8 bands",0.04456544253939974,27.00358528678176,0.9543944046601502,0.9680380753860064,8.607083055195352,8.131399971055417
"8x, 16 bands",0.04343228651267055,27.226977330386816,0.9568692236647888,0.9696047632985502,7.632576922350652,7.67745193843803
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.044974116226272204,26.923543234038476,0.9502486247738262,0.9652581565390519,8.635416588288694,8.369563544771884
"8x, 4 bands",0.044861413852385734,26.94574240015403,0.9503286426484056,0.9652404576145092,8.630868382313109,8.375773040501073
"16x, 4 bands",0.045058825272954336,26.90778746374173,0.9507688131958141,0.9657398785210076,8.67744913139681,8.377822951025722
"32x, 4 bands",0.04483525249987925,26.950319874548395,0.9503960860313689,0.9652632493619354,8.646687066041897,8.36925960135382
"8x, 1 band",0.05631129947465091,24.975683374243992,0.8741785082439552,0.9484267366898962,10.00360430798662,10.479456790713014
"8x, 3 bands",0.045913064253645074,26.74389752597598,0.9387806775593223,0.9605300276938059,8.735804761155967,8.982554239760312
"8x, 8 bands",0.044427409721085886,27.0300598853383,0.9545317855830837,0.9680898875744568,8.594065656876907,8.110088927071331
"8x, 16 bands",0.043370933981257326,27.239279335333755,0.9572324701543483,0.9701714710808187,7.621603309338484,7.589633634958237
Airy PSF,,,,,,
"4x, 4 bands",0.0449507252141633,26.92795326811811,0.9504131943079485,0.9654083740158587,8.638360331990746,8.370127889152057
"8x, 4 bands",0.04495047806453396,26.928567093320808,0.9506768526426764,0.96569492754728,8.655343699899312,8.36637384642949
"16x, 4 bands",0.04490376563124209,26.937710051931223,0.9507496191534486,0.9657336908665574,8.656924957073384,8.375986483912635
"32x, 4 bands",0.04489558307532299,26.938396140728816,0.9503608099680453,0.9652348096255948,8.647143538599881,8.373879370553686
"8x, 1 band",0.05578355097132386,25.057830750425467,0.8770391399635439,0.94832749295704,9.932645007461764,10.324671043742185
"8x, 3 bands",0.045907651589290756,26.745045078357634,0.9404547221065079,0.9616358101340176,8.750348721085912,8.957676129482186
"8x, 8 bands",0.04456544253939974,27.00358528678176,0.9543944046601502,0.9680380753860064,8.607083055195352,8.131399971055417
"8x, 16 bands",0.04343228651267055,27.226977330386816,0.9568692236647888,0.9696047632985502,7.632576922350652,7.67745193843803
Moffat PSF,,,,,,
"4x, 4 bands",0.044974116226272204,26.923543234038476,0.9502486247738262,0.9652581565390519,8.635416588288694,8.369563544771884
"8x, 4 bands",0.044861413852385734,26.94574240015403,0.9503286426484056,0.9652404576145092,8.630868382313109,8.375773040501073
"16x, 4 bands",0.045058825272954336,26.90778746374173,0.9507688131958141,0.9657398785210076,8.67744913139681,8.377822951025722
"32x, 4 bands",0.04483525249987925,26.950319874548395,0.9503960860313689,0.9652632493619354,8.646687066041897,8.36925960135382
"8x, 1 band",0.05587167238819803,25.042532839435744,0.8722783393819348,0.9452215911621948,9.934108351039562,10.421345541254546
"8x, 3 bands",0.045913064253645074,26.74389752597598,0.9387806775593223,0.9605300276938059,8.735804761155967,8.982554239760312
"8x, 8 bands",0.044427409721085886,27.0300598853383,0.9545317855830837,0.9680898875744568,8.594065656876907,8.110088927071331
"8x, 16 bands",0.043370933981257326,27.239279335333755,0.9572324701543483,0.9701714710808187,7.621603309338484,7.589633634958237
Sinc PSF,,,,,,
"4x, 4 bands",0.044846909765611766,26.948650760228112,0.9504532059025196,0.9654665813355262,8.634771882866085,8.364078902868364
"8x, 4 bands",0.045103662243442845,26.89917109585175,0.9506594669203732,0.9657660569041844,8.67737991368545,8.375474219724884
"16x, 4 bands",0.044926833062578025,26.933225463037992,0.9505932942228124,0.9655383971451414,8.653677827227334,8.359110794020827
"32x, 4 bands",0.044879400563019686,26.942060732271575,0.950645150249521,0.9656264891803815,8.650028428757537,8.371635653411337
"8x, 1 band",0.05637382526495735,24.96723435776334,0.8734851029448844,0.9476920023914807,9.99087827958434,10.453438892617143
"8x, 3 bands",0.04596245915974866,26.734514661256853,0.9397114344233437,0.9612422461990051,8.744334518554888,8.978581630984303
"8x, 8 bands",0.044355260242509006,27.044361577081695,0.954348572579013,0.9681132604642325,8.570733340302846,8.116318059594382
"8x, 16 bands",0.04352961307689661,27.207178447125315,0.9565149731162866,0.9694315734243965,7.777945576328619,7.731031357382196
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.044963035303631514,26.926185154372774,0.9506782218244095,0.9656575592574401,8.66514615551845,8.360021770501376
"8x, 4 bands",0.04519347979450298,26.881757061759718,0.9505932657074648,0.9654943064280656,8.689431020567667,8.397538292064965
"16x, 4 bands",0.045110216744071514,26.897986102964264,0.950719313586584,0.9657285476490739,8.68659468521084,8.369035912658502
"32x, 4 bands",0.044899932973527165,26.938084733299835,0.9505255672012257,0.965594301251993,8.641219667280643,8.377335446273714
"8x, 1 band",0.05606037396930975,25.014640298991033,0.8723554123055229,0.9448457740940913,9.965138604433415,10.477706554738198
"8x, 3 bands",0.04603620092171011,26.720797212170613,0.9398973170688509,0.9613814860748616,8.763119112262121,8.990597641281648
"8x, 8 bands",0.04457411217771892,27.00163917161847,0.9542177696027099,0.9679253376075078,8.599310007089752,8.154650788763787
"8x, 16 bands",0.04355421179760436,27.202506653043205,0.9567298657577733,0.9695951026763402,7.70577720924248,7.729503956329051
Hermite PSF,,,,,,
"4x, 4 bands",0.044823008575386104,26.95309427009927,0.9505092583716009,0.9656482893297196,8.634536280562404,8.364231728351044
"8x, 4 bands",0.04500775325677587,26.917437137761993,0.9506363319863941,0.9657303428340218,8.66823967383163,8.382391493806814
"16x, 4 bands",0.04485916929630374,26.946041441488187,0.9504726834849222,0.9655733075217224,8.637121575116696,8.355711921135098
"32x, 4 bands",0.04487279982797572,26.943343248237174,0.9506063308661978,0.965466807294879,8.63551399514748,8.364684228383556
"8x, 1 band",0.05682393494370852,24.896168909935213,0.866258927456088,0.9407169460575143,10.064579213473724,10.684699706403666
"8x, 3 bands",0.04606010024779182,26.716285930080865,0.9395970402537714,0.961248935678682,8.766654801394484,8.990607032791756
"8x, 8 bands",0.04457736561256642,27.000935991893094,0.9542898980386376,0.9678967528895949,8.612789288734616,8.133811881606078
"8x, 16 bands",0.04355006152193834,27.203254197567347,0.9567295557084695,0.9695965152300658,7.6354132152852445,7.759336515076375
Parabolic PSF,,,,,,
"4x, 4 bands",0.04492640487491499,26.93335730229763,0.9507661626358401,0.9658256029954451,8.650960173139598,8.342832745681394
"8x, 4 bands",0.04484851786599758,26.94824088153885,0.9507270634730772,0.9656894236259476,8.65162747905505,8.352263529377888
"16x, 4 bands",0.045009287003001414,26.91694828266247,0.9501536428885192,0.9651770589208856,8.634213518703609,8.361512459287733
"32x, 4 bands",0.04507201456217028,26.904254146763776,0.9502088193251808,0.9653874160170979,8.653056824545228,8.359557317637815
"8x, 1 band",0.055750318410149526,25.062218823664445,0.8754563863505102,0.9480305255477384,9.903642077869677,10.365759754241688
"8x, 3 bands",0.04598391824767317,26.730774919777282,0.9399761736568444,0.9614910777116052,8.75519810681923,8.96572038477717
"8x, 8 bands",0.04450375821866706,27.015278580763642,0.9543425323512218,0.9679801169002183,8.596597215572272,8.11486579062211
"8x, 16 bands",0.04348265755287389,27.216672190987005,0.9568026891628718,0.96961200314882,7.6172771327282565,7.717928493233172
Gabor PSF,,,,,,
"4x, 4 bands",0.04512075922987615,26.896205894552207,0.9506952227071577,0.9657137411693384,8.677637644324452,8.387211899813552
"8x, 4 bands",0.04507954631119805,26.90384052931148,0.9506927449007091,0.965838216895389,8.679852952706419,8.372270007230503
"16x, 4 bands",0.04508834057423193,26.902299033304086,0.9505774016273228,0.96573077841974,8.687828599712963,8.389120083912923
"32x, 4 bands",0.04505247738060624,26.908762548657617,0.9506885872460427,0.9655955941570411,8.671333626529561,8.369955426875514
"8x, 1 band",0.05676467624643999,24.905151387158313,0.8697746200293447,0.9469508766278424,10.055484574991919,10.59150689782072
"8x, 3 bands",0.04601692867821237,26.724504903786848,0.9395914416158582,0.9613773570066442,8.760855788267204,8.96064555422385
"8x, 8 bands",0.044544823587428055,27.00713907960978,0.9543805689292291,0.9680745747439481,8.606709183605215,8.116381238844205
"8x, 16 bands",0.04382520985738686,27.14840620964321,0.9561018917239923,0.9690688612843122,8.065457703092212,7.802645890829779
Delta PSF,,,,,,
"4x, 4 bands",0.04505108481145814,26.90921240782471,0.9506601304492961,0.9656102513944529,8.670021611322678,8.360578430918732
"8x, 4 bands",0.045170071699290146,26.88664606935734,0.950690207715099,0.9656756339244903,8.687188025502358,8.386196762948158
"16x, 4 bands",0.04500096570967085,26.919116614685205,0.9507424738482922,0.9655430656716434,8.661498996418675,8.367506804058065
"32x, 4 bands",0.044877302741800996,26.94253974870592,0.9505506475646078,0.9655867595014869,8.640532186440861,8.377964677451
"8x, 1 band",0.05595269889323211,25.03153742038364,0.8743667368814182,0.9482388483702487,9.927197691380497,10.439032316110293
"8x, 3 bands",0.046038215335978384,26.720372863074715,0.9400076511257989,0.9615072246513615,8.761507017831798,8.993857349063036
"8x, 8 bands",0.0445463920438205,27.00705520107059,0.9543139707079843,0.968023330162664,8.607774885841579,8.112146521558797
"8x, 16 bands",0.04345659396986178,27.221971411295694,0.9564498035019334,0.9691005902457324,7.611137081189683,7.743429004499415
